TS,TypeOfEvent
1538035740118,"1,5"
1538035743231,"1,5"
1538035760810,"3,5"
1538035787474,"1,5"
1538035803522,"1,5"
"1538035836278,5","1,5"
"1538035866471,5","3,5"
1538035890760,"3,5"
1538035904220,"1,5"
1538035929036,"3,5"
1538035943540,"3,5"
1538035946365,"3,5"
1538036005252,"3,5"
1538036025409,"3,5"
,
1538036077807,0
"1538036083882,5",1
1538036102051,1
1538036176094,1
1538036215922,0
1538036220448,1
1538036222526,1
1538036236526,1
1538036246442,0
1538036252630,0
1538036253662,1
1538036321132,1
1538036322260,1
1538036323056,1
1538036323960,1
,
1538036346722,1
1538036351760,1
"1538036355777,5",0
1538036375260,0
1538036381091,1
"1538036401258,5",0
1538036421462,0
"1538036450075,5",1
1538036459661,0
1538036464480,1
1538036473975,0
1538036478640,0
1538036479520,0
1538036480380,0
1538036488886,0
1538036492603,1
1538036509540,1
"1538036512392,5",0
1538036514194,1
1538036520376,0
1538036541616,0
1538036551320,1
,
1538036663819,0
1538036666963,0
1538036671094,1
1538036679532,0
1538036721340,1
1538036723294,1
1538036763089,0
"1538036765957,5",1
1538036804970,0
1538036809994,1
1538036835162,0
1538036849320,0
1538036855640,1
1538036861668,0
1538036862847,0
1538036867140,1
1538036867749,0
1538036872018,1
1538036873480,1
1538036874447,1
1538036876112,0
1538036881740,1
1538036932683,0
,
1538036663819,0
1538036666963,0
1538036671094,1
1538036679532,1
1538036721340,1
1538036723294,1
1538036763089,0
"1538036765957,5",1
1538036804970,0
1538036809994,1
1538036835162,0
1538036849320,0
1538036855640,1
1538036861668,0
1538036862847,0
1538036867140,0
1538036867749,0
1538036872018,1
1538036873480,1
1538036874447,1
1538036876112,0
1538036881740,1
1538036932683,1
,
1538036976798,1
1538036980700,1
1538036988945,1
"1538037055172,5",1
1538036956723,0
"1538036986565,5",0
"1538037015597,5",0
1538037027978,0
,
1538037352302,1
"1538037393205,5",1
1538037502627,1
1538037286962,0
,
1538037571018,1
1538037579228,1
1538037635312,1
1538037782170,1
1538037560076,0
1538037567984,0
1538037591220,0
1538037659000,0
1538037774940,0
1538037796280,0
,
1538037897591,1
"1538038061674,5",1
"1538038077172,5",1
"1538038109748,5",1
1538038136900,1
1538038139876,1
1538037854705,0
1538037856633,0
1538037892294,0
1538038042976,0
1538038066616,0
1538038073431,0
1538038114943,0
,
1538038306740,1
1538038203137,0
1538038214260,0
1538038214779,0
1538038238312,0
1538038275928,0
1538038276715,0
1538038295061,0
1538038298368,0
,
1538038506980,1
1538038531214,1
"1538038540958,5",1
1538038632524,1
1538038654519,1
1538038449980,0
1538038460877,0
1538038581465,0
1538038620320,0
1538038653496,0
1538038732274,0
1538038747114,0
,
1538038768300,1
1538038785751,1
1538038808454,1
1538038830641,1
1538038843880,1
1538038791815,0
1538038851674,0
1538038865356,0
1538038958634,0
1538038960838,0
,
1538039145915,1
1538039277798,1
1538039332023,1
1538039081519,0
1538039102673,0
1538039124448,0
"1538039125428,5",0
1538039191059,0
1538039192060,0
1538039193216,0
1538039214021,0
1538039222963,0
1538039244152,0
1538039249455,0
1538039321877,0
,
1538039438674,0
1538039511681,0
1538039594772,0
1538039656936,1
1538039595436,0
,
"1538039843962,5",1
"1538039851052,5",1
1538039894934,1
"1538039896536,5",1
"1538039897511,5",1
1538039944879,1
1538039969995,1
"1538039989529,5",1
1538040074148,1
"1538039862035,5",0
1538039915812,0
1538039920210,0
"1538040008572,5",0
"1538040026948,5",0
1538040082614,0
"1538040090166,5",0
"1538040104918,5",0
,
1538040206837,1
1538040309696,1
1538040147156,0
1538040365680,0
1538040378353,0
,
1538040688943,1
"1538040438203,5",0
"1538040463536,5",0
1538040550333,0
"1538040563535,5",0
1538040601141,0
1538040706306,0
,
1538040741469,1
1538040865841,1
1538040902106,1
1538040938196,1
1538041009639,1
"1538040735697,5",0
1538040740296,0
1538040818367,0
1538040928454,0
"1538040936068,5",0
"1538040945794,5",0
1538041006234,0
,
1538041044520,1
1538041073694,1
1538041079889,1
1538041202118,1
1538041042460,0
"1538041052603,5",0
1538041087524,0
1538041161815,0
1538041201378,0
1538041203094,0
1538041244374,0
1538041257522,0
,
1538041490771,1
1538041510840,1
1538041534600,1
1538041536794,1
1538041618907,1
1538041338879,0
1538041435423,0
1538041466366,0
,
1538041635663,1
1538041704272,1
1538041905004,1
1538041912535,1
1538041620288,0
"1538041630410,5",0
1538041662628,0
1538041682320,0
"1538041720805,5",0
"1538041750379,5",0
"1538041787072,5",0
1538041793189,0
"1538041836214,5",0
,
"1538041958038,5",1
1538041994000,1
"1538041997907,5",1
1538042099716,1
"1538042101113,5",1
1538042103916,1
1538042183480,1
"1538042197050,5",1
1538042005644,0
1538042163261,0
"1538042220610,5",0
,
"1538042257995,5",1
1538042336725,1
"1538042418052,5",1
1538042433820,1
1538042501268,1
1538042297878,0
1538042335848,0
1538042349615,0
1538042376550,0
1538042421076,0
"1538042484284,5",0
1538042495274,0
