time,in,out
56865000,1,0
56944000,0,1
56944000,0,1
56948000,1,0
57134000,0,1
57194000,1,0
57224000,0,1
57267000,1,0
57295000,1,0
57296000,1,0
57297000,1,0
57311000,1,0
57332000,0,1
57366000,0,1
57403000,0,1
57415000,1,0
57476000,1,0
57523000,0,1
57574000,1,0
57643000,1,0
57665000,0,1
57672000,1,0
57803000,0,1
57874000,0,1
58062000,0,1
58079000,1,0
58243000,1,0
58269000,0,1
58295000,0,1
58357000,0,1
58390000,0,1
58430000,0,1
58437000,1,0
58443000,1,0
58456000,0,1
58494000,0,1
58558000,1,0
58715000,0,1
58720000,0,1
58728000,1,0
58738000,1,0
58795000,1,0
58880000,0,1
59220000,0,1
59225000,0,1
59228000,0,1
59279000,0,1
59508000,0,1
59537000,1,0
59538000,1,0
59540000,1,0
59716000,0,1
59734000,1,0
59776000,0,1
59778000,1,0
59967000,0,1
60100000,1,0
60103000,1,0
60117000,0,1
60273000,0,1
60304000,0,1
60412000,1,0
