TIME,IN,OUT
16:14:00,2,2
16:19:00,2,1
16:24:00,0,0
16:29:00,3,1
16:34:00,1,1
16:39:00,1,3
16:44:00,4,3
16:49:00,0,0
16:54:00,1,1
16:59:00,0,0
17:04:00,1,1
17:09:00,1,0
17:14:00,1,1
17:19:00,1,0
17:24:00,2,4
17:29:00,4,5
17:34:00,3,1
17:39:00,5,3
17:44:00,6,6
17:49:00,1,2
17:54:00,2,1
17:59:00,1,1
18:04:00,1,1
18:09:00,0,1
18:14:00,0,0
18:19:00,0,0
18:24:00,0,0
18:29:00,5,1
18:34:00,2,2
18:39:00,4,3
18:44:00,0,0
18:49:00,0,0
18:54:00,0,0
18:59:00,1,0
19:04:00,0,1
19:09:00,2,1
19:14:00,0,0
19:19:00,3,1
19:24:00,0,1
19:29:00,3,0
19:34:00,1,0
19:39:00,0,1
19:44:00,1,0
19:49:00,0,0
19:54:00,0,0
19:59:00,0,0
20:04:00,0,0
20:09:00,0,0
20:14:00,0,0
20:19:00,0,0
20:24:00,0,0
20:29:00,0,0
20:34:00,0,0
20:39:00,0,0
20:44:00,0,0
20:49:00,0,0
20:54:00,0,0
20:59:00,0,0
21:04:00,0,0
21:10:00,0,0
21:15:00,0,0
21:20:00,0,0
21:25:00,0,0
21:30:00,0,0
21:35:00,0,0
21:40:00,0,0
21:45:00,0,0
21:50:00,0,0
21:55:00,0,0
22:00:00,0,0
08:02:00,0,0
08:07:00,0,0
08:12:00,0,0
08:17:00,0,0
08:22:00,0,0
08:27:00,0,0
08:32:00,0,0
08:37:00,1,1
08:42:00,0,0
08:47:00,1,2
08:52:00,0,0
08:57:00,0,1
09:02:00,1,0
09:07:00,0,0
09:12:00,1,1
09:17:00,1,1
09:22:00,2,3
09:27:00,2,4
09:32:00,0,2
09:37:00,2,1
09:42:00,1,3
09:47:00,3,1
09:52:00,3,2
09:57:00,1,2
