,PIR,21-09-2018,MATTINA,,,,,,,
,REAL IN,IN,REAL OUT,OUT,RMSE,MAE,ACC. IN,ACC.OUT,span,delta
09:55:00,1,1,1,1,0,0,"100,00%","100,00%",ALL,ALL
10:00:00,3,2,1,1,"0,71","0,5","66,67%","100,00%",ALL,ALL
10:05:00,0,0,1,1,0,0,"100,00%","100,00%",ALL,ALL
10:10:00,1,1,0,0,0,0,"100,00%","100,00%",ALL,ALL
10:15:00,1,1,0,0,0,0,"100,00%","100,00%",ALL,ALL
10:20:00,1,0,1,1,"0,71","0,5","0,00%","100,00%",ALL,ALL
10:25:00,3,3,3,3,0,0,"100,00%","100,00%",ALL,ALL
10:30:00,0,0,1,1,0,0,"100,00%","100,00%",ALL,ALL
10:35:00,1,2,2,1,1,1,"50,00%","50,00%",ALL,ALL
10:40:00,5,3,5,5,"1,41",1,"60,00%","100,00%",ALL,1000
10:45:00,3,2,4,2,"1,58","1,5","66,67%","50,00%",ALL,ALL
10:50:00,0,0,0,0,0,0,"100,00%","100,00%",ALL,ALL
10:55:00,2,1,1,0,1,1,"50,00%","0,00%",ALL,ALL
11:01:00,0,1,1,1,"0,71","0,5","0,00%","100,00%",ALL,ALL
11:16:00,4,1,3,1,"2,55","2,5","25,00%","33,33%",>1000,ALL
11:21:00,2,1,4,3,1,1,"50,00%","75,00%",ALL,ALL
11:26:00,0,0,1,1,0,0,"100,00%","100,00%",ALL,ALL
11:31:00,2,2,2,2,0,0,"100,00%","100,00%",>1100,ALL
11:36:00,0,0,0,0,0,0,"100,00%","100,00%",ALL,ALL
11:41:00,0,0,0,0,0,0,"100,00%","100,00%",ALL,ALL
11:46:00,1,0,3,3,"0,71","0,5","0,00%","100,00%",ALL,ALL
11:51:00,1,1,1,1,0,0,"100,00%","100,00%",ALL,ALL
11:56:00,2,1,0,0,"0,71","0,5","50,00%","100,00%",ALL,ALL
12:01:00,2,2,1,0,"0,71","0,5","100,00%","0,00%",ALL,ALL
12:06:00,0,0,1,2,"0,71","0,5","100,00%","50,00%",ALL,ALL
12:11:00,0,0,0,0,0,0,"100,00%","100,00%",ALL,ALL
12:16:00,0,0,0,0,0,0,"100,00%","100,00%",ALL,ALL
12:21:00,0,0,1,1,0,0,"100,00%","100,00%",ALL,ALL
12:26:00,1,1,1,1,0,0,"100,00%","100,00%",ALL,ALL
12:31:00,0,0,0,0,0,0,"100,00%","100,00%",ALL,ALL
12:36:00,0,0,0,0,0,0,"100,00%","100,00%",ALL,ALL
12:41:00,0,0,0,0,0,0,"100,00%","100,00%",ALL,ALL
12:46:00,0,0,2,1,"0,71","0,5","100,00%","50,00%",ALL,ALL
12:51:00,1,1,4,3,"0,71","0,5","100,00%","75,00%",ALL,ALL
12:56:00,0,0,0,0,0,0,"100,00%","100,00%",ALL,ALL
TOTALE ,37,27,45,36,"0,43","0,36","80,52%","85,24%",,
