INFRARED,24-09-2018,OUT,,,,,,,,,
TIME,REAL IN,IN,REAL OUT,OUT,RMSE,MAE,ACC. IN,ACC.OUT,enough_zero,delta,
10:58:00,7,7,5,8,"2,12","1,5","100,00%","40,00%",4,800-1000,"70,00%"
11:03:00,3,3,3,2,"0,71","0,5","100,00%","66,67%",4-7,800-1600,"83,34%"
11:08:00,4,4,3,1,"1,41",1,"100,00%","33,33%",5,1200-1600,"66,67%"
11:25:00,7,5,6,6,"1,41",1,"71,43%","100,00%",4,ALL,"85,72%"
11:30:00,6,5,8,9,1,1,"83,33%","87,50%",4,800-1200,"85,42%"
11:35:00,6,6,9,7,"1,41",1,"100,00%","77,78%",4,1050-1150,"88,89%"
11:40:00,6,6,6,6,0,0,"100,00%","100,00%",5,800-1200,"100,00%"
11:45:00,10,10,11,9,"1,41",1,"100,00%","81,82%",5,850,"90,91%"
11:50:00,8,7,5,7,"1,58","1,5","87,50%","60,00%",3-4,800-1600,"73,75%"
11:55:00,7,8,12,12,"0,71","0,5","85,71%","100,00%",3,800-1600,"92,86%"
12:00:00,5,5,10,11,"0,71","0,5","100,00%","90,00%",4,800-1050,"95,00%"
12:05:00,1,1,6,4,"1,41",1,"100,00%","66,67%",3-4,800-1600,"83,34%"
12:10:00,8,11,17,15,"2,55","2,5","62,50%","88,24%",6,1200-1600,"75,37%"
12:15:00,5,5,8,8,0,0,"100,00%","100,00%",3-4,800-950,"100,00%"
12:20:00,4,5,8,8,"0,71","0,5","80,00%","100,00%",3-4,800-950,"90,00%"
12:25:00,9,10,10,9,1,1,"88,89%","90,00%",4,800-1200,"89,45%"
12:30:00,7,7,12,12,0,0,"100,00%","100,00%",3-4,800-850,"100,00%"
,103,105,139,134,"1,07","0,85","91,73%","81,29%",,,"86,51%"
